"id","art_id"
1,"ld.154103"
1,"ld.142559"
1,"1.18331199"
1,"ld.144819"
1,"ld.1293110"
2,"ld.143149"
2,"ld.140832"
2,"ld.154294"
2,"ld.1086075"
2,"1.18108994"
3,"1.18306956"
3,"ld.140509"
3,"ld.151615"
3,"ld.152374"
3,"ld.148811"
3,"ld.1294037"
3,"ld.1288065"
3,"ld.142295"
3,"ld.150796"
3,"ld.145762"
3,"ld.139682"
3,"ld.138478"
3,"ld.143413"
3,"ld.1292030"
4,"ld.138109"
4,"ld.153489"
4,"ld.149645"
4,"ld.1291670"
4,"ld.154258"
4,"ld.150405"
4,"ld.145425"
4,"ld.152926"
4,"ld.185876"
4,"ld.1293241"
4,"ld.154760"
4,"ld.1291056"
4,"ld.137411"
4,"ld.821045"
4,"ld.137707"
4,"ld.150557"
4,"ld.142670"
4,"ld.1288231"
4,"ld.1287117"
4,"ld.146545"
4,"ld.141732"
4,"ld.1288665"
4,"ld.1292472"
4,"ld.141745"
4,"ld.139793"
4,"1.17666201"
4,"ld.138797"
4,"ld.147049"
4,"ld.138548"
4,"1.18179552"
4,"ld.153885"
4,"ld.150497"
4,"ld.152611"
4,"ld.1292115"
4,"ld.148679"
4,"ld.1085571"
4,"ld.138775"
4,"ld.140030"
4,"ld.147794"
4,"ld.142304"
4,"ld.149165"
4,"1.18205641"
4,"ld.151847"
4,"ld.152940"
4,"ld.143465"
4,"ld.1289889"
4,"ld.1085760"
5,"ld.137340"
5,"ld.154306"
5,"ld.1295497"
5,"ld.138307"
5,"ld.141238"
5,"ld.1290625"
5,"ld.145441"
5,"ld.143720"
5,"ld.137916"
5,"ld.147965"
5,"ld.141814"
5,"ld.1289822"
5,"ld.151880"
5,"ld.149014"
5,"ld.1085748"
5,"ld.137891"
5,"ld.139578"
5,"ld.143485"
5,"ld.151690"
5,"ld.137929"
5,"ld.141278"
5,"ld.138725"
5,"ld.137607"
5,"ld.1292222"
5,"ld.1294366"
5,"ld.155220"
5,"ld.153477"
5,"ld.151297"
5,"ld.152567"
5,"ld.147885"
6,"ld.142343"
6,"1.18252519"
6,"ld.138196"
6,"ld.1292432"
6,"ld.149183"
6,"ld.148952"
6,"ld.1292986"
6,"ld.147405"
6,"1.2727263"
6,"ld.1290407"
6,"ld.155543"
6,"1.18148439"
6,"ld.155444"
6,"ld.154663"
6,"ld.144894"
6,"ld.138020"
6,"ld.148346"
6,"ld.1289693"
6,"ld.1287464"
6,"ld.142485"
6,"ld.151074"
6,"ld.147315"
6,"ld.147261"
6,"ld.1287138"
6,"1.18239515"
6,"ld.154310"
6,"ld.154333"
6,"1.18073916"
6,"ld.137543"
6,"ld.139203"
6,"1.17931414"
6,"ld.152732"
6,"ld.139863"
7,"ld.142812"
7,"ld.140769"
7,"ld.140749"
7,"1.18073985"
7,"ld.144414"
7,"ld.153057"
7,"ld.139510"
7,"ld.1287511"
7,"ld.142317"
7,"ld.146072"
7,"ld.143480"
7,"ld.154612"
7,"ld.1287958"
7,"ld.142471"
7,"ld.152348"
7,"ld.144309"
7,"ld.143409"
8,"ld.140509"
8,"ld.141723"
8,"ld.140028"
8,"ld.150417"
8,"ld.154874"
8,"ld.1288235"
8,"ld.1085579"
8,"ld.1290811"
8,"ld.152716"
8,"ld.139562"
8,"ld.143719"
8,"ld.148437"
8,"ld.154109"
8,"ld.1287550"
8,"ld.139761"
8,"ld.1291079"
8,"ld.1288790"
8,"ld.143667"
8,"ld.148924"
8,"ld.137199"
8,"ld.1293183"
8,"1.18108994"
8,"1.827592"
8,"ld.147414"
8,"ld.149665"
8,"ld.147478"
8,"ld.1288371"
8,"ld.1288765"
8,"ld.141995"
8,"ld.144165"
8,"ld.139604"
8,"ld.140868"
8,"ld.141738"
8,"ld.151812"
8,"ld.139524"
8,"ld.150801"
8,"ld.1290938"
8,"ld.1086062"
8,"ld.139460"
8,"ld.1289533"
8,"ld.1287839"
8,"ld.147941"
8,"1.18343129"
8,"ld.152512"
8,"ld.148112"
8,"ld.149215"
8,"ld.137069"
8,"ld.139073"
8,"ld.140650"
9,"ld.145439"
9,"ld.144751"
9,"ld.1085519"
9,"ld.1292682"
9,"ld.154915"
9,"ld.138492"
9,"ld.139589"
9,"ld.1085323"
9,"ld.155038"
9,"ld.144754"
9,"ld.143608"
9,"ld.1295030"
9,"ld.153056"
9,"ld.145417"
9,"ld.1291485"
9,"ld.150869"
9,"ld.137349"
9,"ld.145574"
9,"ld.145257"
9,"ld.1289916"
9,"ld.154004"
9,"ld.137955"
9,"ld.144858"
9,"1.18374871"
9,"ld.1292202"
9,"ld.143890"
9,"ld.1291395"
9,"ld.137285"
9,"1.18049036"
9,"ld.145299"
9,"ld.154440"
9,"ld.1085765"
9,"ld.138449"
9,"ld.153891"
9,"1.18153640"
9,"ld.142403"
9,"ld.1290548"
9,"ld.142251"
9,"ld.138931"
9,"ld.139387"
10,"ld.155190"
10,"ld.137352"
10,"ld.143553"
10,"ld.138458"
10,"ld.155343"
10,"ld.146689"
10,"ld.145806"
10,"ld.141881"
10,"ld.148234"
10,"ld.151844"
10,"ld.1292759"
10,"ld.1287252"
10,"ld.146967"
10,"ld.151224"
10,"ld.141399"
10,"ld.145451"
10,"ld.140237"
10,"ld.148349"
10,"ld.148876"
10,"ld.146001"
10,"ld.154128"
10,"ld.1294345"
10,"ld.1293388"
10,"ld.144423"
10,"ld.153477"
10,"ld.1288986"
10,"ld.148919"
10,"ld.137999"
10,"ld.148361"
10,"1.18148153"
10,"1.18108994"
10,"ld.150497"
10,"ld.148067"
10,"ld.1085552"
10,"ld.1290088"
10,"ld.1085793"
10,"ld.143106"
10,"ld.143433"
10,"ld.154723"
10,"ld.1085947"
10,"ld.138093"
10,"ld.155058"
11,"ld.141354"
11,"ld.140206"
11,"ld.144946"
11,"ld.1287860"
11,"ld.153108"
11,"ld.148598"
11,"ld.150299"
11,"ld.149726"
11,"ld.1294726"
12,"ld.125422"
12,"1.18374662"
12,"ld.143546"
12,"ld.137077"
12,"ld.142081"
12,"ld.155086"
12,"ld.137267"
12,"ld.147809"
12,"ld.147446"
12,"ld.1288368"
12,"ld.147778"
12,"ld.139845"
12,"ld.1293574"
12,"ld.139637"
12,"ld.136857"
12,"ld.143042"
12,"ld.140918"
12,"ld.142436"
12,"ld.138599"
12,"ld.153016"
12,"ld.1289604"
12,"ld.150127"
12,"ld.140998"
12,"ld.143718"
12,"ld.125409"
12,"ld.141103"
12,"ld.151366"
12,"ld.152286"
12,"ld.142980"
12,"ld.143723"
12,"1.18237052"
12,"ld.1085167"
12,"ld.1290617"
12,"ld.142371"
12,"ld.154910"
12,"ld.141169"
12,"ld.150790"
12,"ld.154422"
12,"ld.143086"
12,"ld.1289567"
12,"ld.137607"
12,"ld.138724"
12,"ld.151480"
13,"ld.141853"
13,"ld.1287724"
13,"1.18064470"
13,"ld.139513"
13,"1.17314054"
13,"ld.1289407"
13,"ld.150109"
13,"ld.138328"
13,"ld.146967"
13,"ld.146488"
13,"ld.139647"
13,"ld.154951"
13,"ld.153290"
13,"ld.1085545"
13,"ld.140603"
13,"ld.153374"
13,"ld.140203"
13,"1.17877004"
13,"ld.1287874"
13,"1.18194980"
14,"ld.1295510"
14,"1.17592202"
14,"ld.138411"
14,"ld.153609"
14,"ld.140906"
14,"ld.1293604"
14,"ld.144834"
14,"ld.155005"
